Customer_ID,Sign_up_date,Last_order_placed_date,No_of_orders_placed,Maximum_bill,Minimum_bill,No_of_Review_given,No_of_Comment_added,No_of_Images_added,No_of_issues_raised,Orders_returned,Category_of_customers,Gender,Premium,Gift_card_amount
ID0x38c6,04/15/2015 07:42 AM,02/15/2019 07:57 AM,92,791.92,94.0,43.0,21,11.0,12,4,,Female,No,93
ID0x24c3,09/25/2019 02:09 PM,02/14/2021 07:16 PM,52,1144.8,266.0,24.0,11,9.0,10,0,Active,Female,No,67
ID0x399b,08/27/2019 06:05 PM,10/27/2019 11:12 AM,47,338.82,199.15,27.0,6,5.0,1,2,Active,Female,No,20
ID0x14c2,07/16/2016 04:05 PM,04/21/2018 10:57 PM,49,309.86,137.98,22.0,7,6.0,10,2,Passive,Male,No,46
ID0x277f,08/22/2012 06:42 AM,07/17/2014 03:04 PM,50,392.38,93.55,19.0,12,3.0,3,2,Inactive,Male,Yes,66
ID0x2ce9,08/12/2017 07:45 AM,10/15/2020 05:02 PM,285,2473.93,338.84,164.0,44,40.0,45,6,Active,Female,Yes,125
ID0x24a8,01/08/2012 01:15 PM,11/30/2019 05:50 PM,156,2145.0,170.34,74.0,39,15.0,13,2,Active,Female,No,140
ID0x1a08,01/10/2020 03:35 AM,03/30/2020 12:25 PM,42,357.8,206.05,13.0,5,2.0,5,0,Active,Female,Yes,75
ID0x2cc7,01/22/2014 05:41 PM,10/20/2019 12:14 PM,319,392.21,113.74,136.0,66,50.0,59,18,Active,Male,No,62
ID0xe78,06/04/2018 11:11 PM,10/01/2018 06:40 AM,56,303.78,138.0,31.0,8,2.0,5,0,Passive,Male,No,79
ID0x489,06/28/2017 11:56 AM,04/25/2019 08:10 AM,53,566.11,126.0,29.0,11,3.0,8,2,,Female,No,77
ID0x1a65,08/21/2019 05:25 AM,10/23/2020 01:49 AM,28,450.32,174.21,9.0,5,2.0,2,0,Active,Male,No,67
ID0x1fda,08/26/2010 09:55 AM,03/17/2018 08:57 PM,263,1068.42,266.88,100.0,51,32.0,32,4,Passive,Male,Yes,94
ID0x3666,01/06/2015 07:42 PM,07/17/2015 11:47 PM,33,122.51,168.12,,7,4.0,7,0,Passive,Female,No,17
ID0x3edc,03/29/2019 12:28 AM,08/11/2020 10:20 PM,22,119.74,186.07,9.0,3,1.0,3,0,Active,Female,No,45
ID0x3019,06/13/2019 05:05 AM,11/24/2020 05:35 PM,56,347.14,162.0,19.0,7,8.0,2,1,Active,Male,No,111
ID0x2c14,12/12/2010 08:29 AM,09/25/2014 07:59 AM,78,211.12,158.0,37.0,9,13.0,7,4,Inactive,Female,Yes,50
ID0x28b4,05/27/2018 10:53 PM,06/22/2020 01:57 AM,80,723.89,228.0,32.0,20,7.0,4,2,Active,Male,No,102
ID0x34d1,11/15/2013 03:40 AM,04/23/2014 12:08 PM,78,775.25,216.0,35.0,16,10.0,4,3,Inactive,Female,No,29
ID0x2409,01/09/2013 02:27 PM,06/05/2015 04:04 PM,34,,99.69,17.0,8,1.0,2,0,Passive,Female,No,35
ID0x1139,11/29/2016 10:28 PM,01/12/2020 08:08 PM,305,304.39,167.96,166.0,66,28.0,25,17,Active,Female,No,95
ID0x242b,04/16/2017 07:29 PM,09/30/2020 05:08 AM,102,538.38,288.5,41.0,14,6.0,20,5,Active,Male,No,110
ID0x3147,06/13/2012 12:31 AM,12/31/2014 03:33 AM,73,619.78,121.0,30.0,14,7.0,10,2,Inactive,Female,No,28
ID0x30c8,12/06/2010 06:54 PM,09/07/2020 03:25 AM,291,460.02,288.42,105.0,48,42.0,57,2,,Male,Yes,176
ID0x3f80,08/18/2011 07:47 AM,11/21/2014 08:22 AM,194,1956.42,294.29,97.0,38,,20,2,Inactive,Male,No,146
ID0x69b,06/22/2012 01:13 PM,04/09/2017 07:17 PM,210,2457.8,221.6,69.0,53,20.0,38,9,Passive,Male,Yes,100
ID0x2b5d,05/25/2016 01:35 AM,10/04/2020 08:01 PM,228,357.36,240.31,122.0,52,29.0,47,2,Active,Female,Yes,131
ID0x27d1,11/06/2011 11:47 AM,08/18/2017 01:09 PM,214,2307.0,165.48,109.0,25,,9,7,Passive,Female,No,135
ID0x499,07/15/2012 09:46 AM,05/19/2013 07:54 AM,48,96.32,86.33,18.0,6,7.0,5,1,Inactive,Female,Yes,69
ID0x1eeb,06/01/2016 08:59 AM,06/11/2017 09:48 AM,46,263.79,164.62,23.0,9,2.0,5,2,Passive,Female,No,28
ID0x14a0,02/10/2011 09:44 PM,12/02/2016 12:47 AM,119,944.17,140.0,53.0,27,9.0,7,3,Passive,Male,No,115
ID0x2a6d,06/05/2011 01:27 PM,08/24/2011 01:08 PM,25,729.29,204.14,14.0,4,2.0,2,0,Inactive,Male,No,25
ID0x2668,06/30/2014 03:29 AM,10/13/2015 01:34 PM,67,112.91,274.0,22.0,9,5.0,12,1,Passive,Male,No,53
ID0x596,12/28/2019 09:56 PM,03/30/2020 08:46 AM,51,555.84,133.0,,8,5.0,2,0,Active,Male,No,113
ID0x2ca1,07/28/2018 05:53 PM,06/28/2020 05:52 AM,66,225.79,185.0,21.0,15,6.0,10,3,Active,Male,No,113
ID0x3fea,08/10/2016 06:27 AM,12/28/2017 01:40 AM,49,,185.07,16.0,7,7.0,3,1,Passive,Male,No,53
ID0x31e8,07/22/2012 02:36 AM,01/07/2015 03:06 PM,24,769.29,197.51,8.0,4,,2,0,,Male,No,16
ID0x2db4,02/20/2013 12:26 AM,09/16/2017 11:04 AM,96,1009.69,256.0,39.0,20,17.0,17,2,Passive,Male,No,50
ID0x510,02/04/2011 09:33 AM,11/01/2012 12:27 AM,26,348.06,163.32,9.0,6,2.0,2,0,Inactive,Male,No,25
ID0xd80,01/18/2020 10:54 PM,03/04/2020 08:45 PM,35,457.22,147.22,18.0,6,3.0,5,0,Active,Male,Yes,91
ID0x3858,07/10/2011 12:40 PM,01/02/2016 02:01 PM,286,1412.14,319.72,154.0,43,42.0,61,9,Passive,Male,Yes,114
ID0x2fea,02/25/2016 07:54 PM,01/14/2021 08:35 AM,230,2433.11,180.41,131.0,28,31.0,10,0,Active,Male,No,128
ID0x2b0b,08/02/2017 04:08 PM,01/29/2021 02:02 PM,141,346.87,191.15,,26,22.0,27,2,Active,Female,No,98
ID0x1e0a,05/16/2012 05:45 AM,11/11/2020 11:01 PM,96,520.22,94.0,46.0,16,9.0,5,4,Active,Female,No,116
ID0xb74,10/04/2016 09:20 AM,01/29/2018 07:02 AM,29,916.53,140.43,13.0,3,4.0,5,1,Passive,Male,No,22
ID0x131f,12/15/2010 07:51 AM,05/08/2018 01:47 PM,286,926.62,112.95,160.0,37,20.0,57,16,Passive,Female,No,50
ID0x1c5a,05/28/2018 11:56 AM,11/24/2020 09:45 AM,54,750.09,272.0,22.0,13,3.0,61,2,Active,Male,No,118
ID0x357e,05/13/2018 01:56 PM,01/18/2019 08:08 PM,73,239.92,290.0,33.0,11,5.0,10,3,Active,Male,Yes,117
ID0x8a8,09/03/2014 07:47 PM,04/20/2019 07:42 PM,248,1395.27,172.11,95.0,39,23.0,17,0,Active,Female,No,141
ID0x371a,11/08/2013 02:10 PM,11/25/2018 05:53 PM,160,241.35,204.28,70.0,28,9.0,21,2,Passive,Female,No,83
ID0xfa0,12/06/2014 10:38 AM,06/04/2019 05:16 PM,251,1311.19,101.98,81.0,63,38.0,25,3,Active,Male,No,114
ID0x11e2,08/27/2018 07:51 PM,12/17/2020 12:37 PM,51,534.65,92.0,17.0,12,8.0,8,2,Active,Female,No,66
ID0x24d0,05/06/2011 02:21 AM,02/06/2016 07:06 PM,231,473.32,113.36,133.0,31,27.0,34,2,,Male,No,147
ID0x3101,02/24/2019 04:34 PM,12/31/2020 02:45 AM,55,372.56,116.0,23.0,8,4.0,11,1,Active,Female,No,80
ID0x32f3,01/25/2016 08:14 AM,10/11/2018 10:40 PM,51,847.8,193.0,26.0,9,8.0,7,0,Passive,Female,No,76
ID0x19f7,11/19/2012 07:42 PM,10/09/2015 11:25 PM,287,649.62,114.6,116.0,58,36.0,51,16,Passive,Male,No,24
ID0xe75,12/10/2019 01:52 PM,07/10/2020 11:52 AM,23,441.5,224.68,12.0,2,1.0,1,1,Active,Male,No,49
ID0x59b,10/24/2018 03:20 AM,04/04/2019 10:33 AM,31,351.9,145.71,16.0,8,5.0,2,0,Active,Male,No,39
ID0x2389,03/12/2017 07:13 PM,01/23/2018 09:46 PM,57,538.33,255.0,23.0,11,5.0,4,2,Passive,Male,No,41
ID0x579,04/27/2011 01:41 PM,01/27/2016 06:43 AM,70,1132.9,128.0,35.0,18,11.0,8,0,Passive,Male,Yes,55
ID0x34df,09/08/2016 12:34 PM,08/10/2020 06:31 PM,329,701.74,92.16,170.0,59,19.0,47,26,Active,Male,Yes,131
ID0x3910,10/14/2018 04:15 AM,12/31/2020 01:06 PM,69,297.71,222.0,31.0,11,5.0,2,2,Active,Female,No,95
ID0xeec,05/29/2011 05:07 AM,01/25/2021 05:13 AM,122,1747.48,258.33,57.0,27,9.0,9,2,Active,Female,Yes,102
ID0x261a,11/17/2014 10:59 AM,03/21/2018 11:06 PM,120,290.53,314.66,68.0,20,17.0,11,1,Passive,Male,No,97
ID0x719,02/26/2017 06:02 PM,10/21/2019 09:58 AM,47,276.06,75.8,27.0,7,6.0,5,1,Active,Male,No,65
ID0x2df1,02/26/2015 06:16 PM,05/02/2019 09:58 AM,341,1289.38,243.04,109.0,83,61.0,75,4,Active,Male,No,125
ID0x1345,01/28/2012 03:46 PM,01/08/2013 12:42 AM,26,512.72,132.22,11.0,5,1.0,3,0,Inactive,Female,No,27
ID0x22e0,12/22/2011 10:04 PM,10/28/2017 08:11 AM,240,414.4,165.63,79.0,32,34.0,15,8,Passive,Male,No,148
ID0x3c64,04/01/2013 08:45 PM,12/11/2015 03:33 PM,50,797.31,124.88,20.0,6,8.0,10,0,Passive,Male,No,78
ID0x3510,06/13/2010 12:52 PM,01/16/2011 05:47 AM,66,662.87,278.0,25.0,11,9.0,11,3,Inactive,Male,Yes,77
ID0x1496,12/31/2018 12:13 AM,11/08/2019 09:45 PM,79,719.43,219.0,25.0,10,6.0,10,4,Active,Female,No,108
ID0x183e,10/04/2012 08:29 AM,03/21/2015 02:05 AM,59,609.77,204.0,34.0,8,8.0,3,0,Passive,Female,Yes,71
ID0x2df2,,07/29/2016 07:07 AM,55,515.91,177.0,21.0,6,8.0,5,2,Passive,Male,No,27
ID0x1670,07/27/2011 08:34 AM,06/07/2014 10:06 AM,177,1776.1,136.31,97.0,30,13.0,16,4,Inactive,Male,No,71
ID0x6eb,08/11/2014 09:57 PM,07/09/2016 09:07 AM,45,131.78,113.71,23.0,7,5.0,3,1,Passive,Female,Yes,74
ID0x1742,03/08/2013 08:31 AM,,221,1320.73,268.51,119.0,37,22.0,21,18,Passive,Female,Yes,147
ID0xba8,08/25/2014 02:39 PM,09/29/2019 07:01 AM,208,1014.84,268.74,119.0,48,16.0,47,0,Active,Female,No,99
ID0x2883,11/15/2010 02:40 PM,,407,634.59,341.58,35.0,16,9.0,11,0,Active,Male,No,143
ID0x1bf9,05/16/2014 08:04 AM,05/27/2019 06:09 AM,188,2332.1,316.29,102.0,26,20.0,21,9,Active,Male,No,80
ID0x9a1,10/19/2019 05:20 PM,04/06/2020 11:30 AM,43,447.71,160.4,15.0,7,4.0,9,0,Active,Male,No,58
ID0xf62,10/27/2016 11:07 AM,05/27/2020 09:00 AM,261,1330.99,255.51,99.0,34,28.0,46,3,Active,Female,No,138
ID0x11da,,02/24/2015 01:17 PM,39,,162.16,15.0,8,3.0,5,0,Passive,Male,No,36
ID0xd63,,05/19/2013 05:11 AM,253,402.73,272.3,84.0,93,14.0,25,9,Inactive,Male,No,118
ID0x12e0,01/02/2019 05:39 PM,09/17/2020 12:56 PM,21,867.64,206.34,9.0,2,2.0,1,0,Active,Male,No,24
ID0x2d1c,03/16/2017 05:20 AM,11/30/2019 10:15 PM,57,424.87,226.0,24.0,9,9.0,6,1,Active,Male,No,65
ID0xa57,04/13/2019 03:33 PM,09/29/2020 04:24 PM,68,962.11,200.0,28.0,15,10.0,14,0,Active,Male,No,107
ID0x220a,07/03/2016 04:49 AM,04/28/2017 02:03 AM,31,646.58,128.77,11.0,4,1.0,3,1,Passive,Female,No,32
ID0x159a,07/11/2015 04:01 PM,04/08/2018 02:35 AM,187,,120.24,95.0,45,10.0,37,6,Passive,Male,No,106
ID0x1da0,03/13/2018 09:08 PM,09/17/2019 12:04 AM,44,652.27,201.53,24.0,5,3.0,8,1,Active,Female,Yes,67
ID0x1106,11/21/2010 09:07 AM,09/26/2017 11:23 AM,140,367.57,225.96,74.0,23,15.0,10,5,Passive,Male,No,109
ID0xb79,05/12/2016 05:45 AM,07/06/2020 01:08 AM,341,1025.41,97.08,112.0,88,27.0,79,2,Active,Male,No,133
ID0x3e8f,08/28/2017 10:53 AM,03/06/2019 05:44 PM,20,477.2,169.12,9.0,2,1.0,2,0,Active,Male,No,63
ID0x1b69,08/17/2015 08:33 PM,10/30/2020 09:20 AM,101,1167.33,177.0,48.0,20,12.0,18,2,Active,Male,Yes,140
ID0x2b23,11/29/2014 11:26 PM,,201,1647.47,276.37,95.0,36,21.0,22,7,Passive,Male,No,86
ID0x3e4a,09/25/2010 12:13 PM,08/27/2016 08:10 AM,169,1975.66,93.69,78.0,26,8.0,24,7,Passive,Male,No,142
ID0x20ae,12/08/2015 08:23 AM,08/09/2017 02:40 PM,47,584.5,177.35,15.0,5,6.0,5,1,Passive,Female,Yes,80
ID0x30ef,01/27/2018 03:24 AM,08/06/2018 11:07 AM,34,,181.21,11.0,7,3.0,5,0,Passive,Male,Yes,94
ID0x570,05/16/2010 08:12 PM,11/22/2014 07:23 PM,316,1097.78,155.69,131.0,70,34.0,34,15,Inactive,Female,Yes,79
ID0x24b8,04/09/2014 10:53 PM,06/10/2016 09:44 PM,29,,192.41,12.0,4,2.0,1,1,,Male,No,18
ID0x23b0,04/03/2012 02:43 AM,10/25/2018 11:33 AM,334,2592.4,173.12,135.0,52,54.0,68,7,Passive,Male,No,75
ID0x1055,06/10/2019 10:46 PM,05/13/2020 04:59 PM,40,626.94,210.2,22.0,5,4.0,9,0,Active,Female,No,21
ID0x150d,04/09/2015 05:44 AM,01/24/2020 02:08 AM,255,,218.31,109.0,46,21.0,55,3,Active,Male,No,145
ID0x367c,08/13/2014 10:34 PM,06/24/2019 07:29 PM,226,1841.66,277.9,79.0,31,39.0,44,11,Active,Male,No,72
ID0x1f8c,08/09/2019 04:08 AM,12/05/2020 12:28 AM,364,521.4,91.0,24.0,13,6.0,11,0,Active,Female,No,64
ID0x3f74,10/23/2018 02:44 AM,04/16/2020 06:57 PM,79,224.33,276.0,31.0,11,7.0,8,2,Active,Male,Yes,99
ID0x2f0d,12/17/2019 01:17 PM,08/10/2020 03:25 PM,48,444.92,150.27,21.0,6,3.0,3,0,Active,Female,No,69
ID0x3ed8,08/19/2012 07:18 PM,11/12/2020 08:54 AM,203,2044.05,210.35,92.0,38,,44,7,Active,Female,Yes,194
ID0x62c,08/07/2018 05:57 PM,08/03/2020 04:05 AM,37,377.94,160.02,12.0,5,2.0,4,1,Active,Female,No,31
ID0x24d7,09/03/2011 04:35 PM,01/23/2013 10:01 AM,25,716.19,214.98,13.0,5,1.0,4,0,Inactive,Male,No,47
ID0x85b,01/02/2012 12:54 PM,12/01/2014 08:33 PM,194,1964.65,250.66,102.0,39,33.0,26,1,Inactive,Female,Yes,112
ID0x3bf4,04/21/2019 01:38 AM,10/10/2020 02:06 AM,36,821.11,123.44,13.0,6,4.0,4,0,Active,Male,Yes,54
